,id,userId,eventId,homeworkRequestId,classId,documentId,message,priority,creationDate,lastModificationDate,expirationDate,notificationType,sphere,title
600,5f730dadfb6eb600013ddb80,5f730dacfb6eb600013ddb7e,,,,,Partagez les devoirs et l''agenda de la classe,2,2020-09-29 12:34,2021-02-15 14:07,2020-09-29 12:36,SETUP_SCHOOL,SCHOOL,Découvrez la sphère école
601,5f7306d9046ca50001ad45d1,5f7306d8046ca50001ad45ce,,,,,Trouvez la classe de vos enfants,1,2020-09-29 12:05,2021-02-15 14:07,2020-10-14 12:05,SETUP_CLASS,SCHOOL,Trouvez la classe de vos enfants
602,5f730dadfb6eb600013ddb81,5f730dacfb6eb600013ddb7e,,,,,Trouvez la classe de vos enfants,1,2020-09-29 12:34,2021-02-15 14:07,2020-10-14 12:34,SETUP_CLASS,SCHOOL,Trouvez la classe de vos enfants
603,5f7306d9046ca50001ad45d0,5f7306d8046ca50001ad45ce,,,,,Partagez les devoirs et l''agenda de la classe,2,2020-09-29 12:05,2021-02-15 14:07,2020-09-29 12:06,SETUP_SCHOOL,SCHOOL,Découvrez la sphère école
604,5f7313c7fb6eb600013ddb9e,5f7313c7fb6eb600013ddb9d,,,,,Pour voir tous les events,1,2020-09-29 13:00,2021-02-15 14:07,2020-10-14 13:00,SETUP_CALENDAR,HOME,Synchronisez vos agendas
605,5f7313c7fb6eb600013ddb9f,5f7313c7fb6eb600013ddb9d,,,,,Partagez les devoirs et l''agenda de la classe,2,2020-09-29 13:00,2021-02-15 14:07,2020-10-14 13:00,SETUP_SCHOOL,SCHOOL,Découvrez la sphère école
606,5f72f5d4fb6eb600013ddb69,5f72f5d4fb6eb600013ddb68,,,,,Pour voir tous les events,1,2020-09-29 10:52,2021-02-15 14:07,2020-10-14 10:52,SETUP_CALENDAR,HOME,Synchronisez vos agendas
607,5f73387f046ca50001ad465a,5f73387e046ca50001ad4658,,,,,Partagez les devoirs et l''agenda de la classe,2,2020-09-29 15:37,2021-02-15 14:07,2020-10-14 15:37,SETUP_SCHOOL,SCHOOL,Découvrez la sphère école
608,5f7313c7fb6eb600013ddba0,5f7313c7fb6eb600013ddb9d,,,,,Trouvez la classe de vos enfants,1,2020-09-29 13:00,2021-02-15 14:07,2020-10-14 13:00,SETUP_CLASS,SCHOOL,Trouvez la classe de vos enfants
609,5f73387f046ca50001ad4659,5f73387e046ca50001ad4658,,,,,Pour voir tous les events,1,2020-09-29 15:37,2021-02-15 14:07,2020-10-14 15:37,SETUP_CALENDAR,HOME,Synchronisez vos agendas
610,5f734229fb6eb600013ddc43,5f734228fb6eb600013ddc42,,,,,Pour voir tous les events,1,2020-09-29 16:18,2021-02-15 14:07,2020-10-14 16:18,SETUP_CALENDAR,HOME,Synchronisez vos agendas
611,5f735583fb6eb600013ddca0,5e5e2cb73dc85e0001e90672,,,5f4e27ab2447780001556cf0,5f735583fb6eb600013ddc9f,Marie Lewin a déposé l'exercice de Histoire- rédaction grottes parietales de la classe 6ème B pour mercredi 30 septembre,1,2020-09-29 17:40,2021-02-15 14:07,2020-09-30 02:00,HOMEWORK_RESPONSE,SCHOOL,
612,5f734229fb6eb600013ddc45,5f734228fb6eb600013ddc42,,,,,Trouvez la classe de vos enfants,1,2020-09-29 16:18,2021-02-15 14:07,2020-09-29 04:20,SETUP_CLASS,SCHOOL,Trouvez la classe de vos enfants
